property_id,property_name,address,city,state,min_rent,max_rent,availability,primary_image_url,image_urls,special,feature_highlights,exterior_amenities,interior_amenities,pet_policy,managed_by,built_year,min_sqft,max_sqft,photo_count,has_complete_core_info,phone,email,street_address,verified_address,address_match_status,address_notes,latitude,longitude,price_1br_raw,price_1br_min,price_1br_max,price_2br_raw,price_2br_min,price_2br_max,website,actual_website,last_scraped
REM2,1 Riva Row,"1 Riva Row The Woodlands, TX 77380",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg,% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true,(832) 344-1038,,"1 Riva Row The Woodlands, TX 77380","Club House, 2500 S Millbend Dr, The Woodlands, TX 77380",mismatch,"scraped='1 Riva Row The Woodlands, TX 77380' | google='Club House, 2500 S Millbend Dr, The Woodlands, TX 77380'",30.1385235,-95.4716579,619,619,619,400,400,400,https://1rivarow.com/,https://1rivarow.com/,2026-05-27T23:22:58
2,LJ Parkway Apartments,4711 LJ Pkwy,Sugar Land,TX,1650,2100,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5091AP03.JPG,Free month on 12-month lease,Modern community with great amenities,Tennis courts and pool,Granite countertops,Cats and dogs allowed,Habitat Locators,2018,650,1100,3,true,(281) 778-2222,,"4711 LJ Parkway Sugar Land, TX 77479","4711 LJ Pkwy, Sugar Land, TX 77479",confirmed,,29.5503468,-95.5874746,"1,221-1,562",1221,1562,"1,869-2,469",1869,2469,https://www.stellaatriverstone.com/,https://www.stellaatriverstone.com/,2026-05-27T23:23:15
3,Downtown Lofts,1414 Texas Ave,Houston,TX,1950,2750,Studio to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/5084AP03.JPG,$250 concession on select units,Urban living with rooftop access,Rooftop lounge and bar,Exposed brick and high ceilings,Pet-friendly community,Habitat Locators,2012,500,1300,3,true,(346) 559-3123,,1414 Texas Ave,"1414 Texas St, Houston, TX 77002",mismatch,"scraped='1414 Texas Ave' | google='1414 Texas St, Houston, TX 77002'",29.7573698,-95.3589136,803,803,803,"2,533-3,153",2533,3153,https://1414texasdowntown.com/,https://1414texasdowntown.com/,2026-05-27T23:23:37
4,Stafford Commons,11107 W Airport Blvd,Stafford,TX,1450,1850,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1534AP03.JPG,Move-in special: First month free,Family-friendly community,Playground and picnic area,Washer/dryer in unit,Small pets welcome,Habitat Locators,2010,600,1050,3,true,,,,,,,,,,,,,,,,,
5,Yorktown Residences,1900 Yorktown St,Houston,TX,2100,2800,1x1 to 3x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4850AP03.JPG,Luxury move-in package,Premium finishes throughout,Concierge service,Smart home features,Pet-friendly with no breed restrictions,Habitat Locators,2019,800,1400,3,true,,,,,,,,,,,,,,,,,
6,Smith Tower Apartments,2222 Smith,Houston,TX,2200,3100,Studio to 3x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4230AP03.JPG,$300 off per month for 6 months,High-rise living with city views,Rooftop pool and spa,Floor-to-ceiling windows,Cats and small dogs allowed,Habitat Locators,2014,550,1500,3,true,,,,,,,,,,,,,,,,,
7,Midtown Lofts,230 W Alabama St,Houston,TX,1800,2400,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/1019AP01.JPG,,Waived application fees,Contemporary design,Fitness center and yoga studio,Quartz countertops,Pet-friendly,Habitat Locators,2016,700,1150,1,true,,,,,,,,,,,,,,,,,
8,Fountain View Towers,2626 Fountain View Dr,Houston,TX,2000,2700,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4897AP03.JPG,Move-in special: $400 off,Upscale community,Pool and hot tub,Stainless steel appliances,Dogs and cats welcome,Habitat Locators,2017,750,1200,3,true,713/463-5063,,"2626 Fountain View Dr Houston, TX 77057","2626 Fountain View Dr, Houston, TX 77057",confirmed,,29.740433,-95.48580989999999,"1,135-1,695",1135,1695,"1,276-2,550",1276,2550,https://2626fountainviewapartments.com/,https://2626fountainviewapartments.com/,2026-05-27T23:25:24
9,Tranquility Lake Apartments,2800 Tranquility Lake Blvd,Pearland,TX,1550,1950,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4163AP01.JPG,,Free month on 12-month lease,Peaceful community setting,Lake views and walking trails,Modern kitchens,Pets welcome,Habitat Locators,2011,650,1100,1,true,(781) 281-9475,,2800 Tranquility Lake Boulevard,"2800 Tranquility Tr, Pearland, TX 77584",mismatch,"scraped='2800 Tranquility Lake Boulevard' | google='2800 Tranquility Tr, Pearland, TX 77584'",29.556034,-95.289305,"1,100-1,450",1100,1450,"1,470-1,725",1470,1725,https://www.2800tranquility.com/,https://www.2800tranquility.com/,2026-05-27T23:26:00
10,West Dallas Residences,2900 W Dallas St,Houston,TX,1900,2600,1x1 to 2x2,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP01.JPG,https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP02.JPG|https://www.apartmentdata.com/ADS/IMAGECITY/TXHO/FMP/4780AP03.JPG,$250 concession available,Modern living spaces,Fitness center and pool,Granite countertops,Pet-friendly community,Habitat Locators,2013,700,1250,3,true,,,,,,,,,,,,,,,,,
